file_id	status	path	file_kind	route_classes	features	group	disposition	owner_step	evidence	notes	minimalism_gate
000031	M	package/boot/uboot-envtools/files/mediatek_filogic	unknown	primary,supporting	boot:uboot:env,identity:uboot-env:ethaddr	linux-uboot-envtools-boundary	defer	M03	Vendor diff adds broad RFB dynamic env handling, not a direct `bananapi,bpi-r4-pro-8x` case. Target 25.12 has BPI-R4/BPI-R4-Lite handling but no 8X case.	Direct 8X SD DTSO defines an `ubootenv` partition, but Linux uboot-envtools is not required to prove SD no-install boot. M03 owns early identity/env access; M10 must review persistent env/storage behavior.	deferred with explicit owner; no RFB authority
000033	A	package/boot/uboot-mediatek/patches/999-add-bananapi_bpi-r4-pro-8x.patch	patch	primary,supporting,deferred	boot:uboot:bootmenu,boot:uboot:env,boot:uboot:recovery,boot:uboot:storage-layout	direct-8x-uboot-sd-env	rewrite	M02	Direct 8X patch adds SD DTS, SD defconfig, `bananapi_bpi-r4-pro-8x_sdmmc_env`, production SD boot with `bootconf_sd`, recovery boot/TFTP recovery using `bootconf_emmc`, and install-to-NAND commands.	M02 rewrites only SD boot env semantics needed for no-install boot. Exclude NAND/eMMC install menus, UBI writes, eMMC install payloads, and all SD write/update flows: `bootmenu_4/5`, `boot_tftp_production`, `boot_tftp_recovery`, `sdmmc_write_production`, `sdmmc_write_recovery`, and `replacevol`. M10 or a later explicit install review owns those flows.	boot/write/install boundary split required
000490	A	package/mtk/reset-boot-count/Makefile	makefile	supporting	boot:recovery:failsafe	recovery-boot-count-boundary	defer	M10	Package builds a reset-boot-count kernel module, but direct 8X DTS has no `mediatek,reset-boot-count` property and the 8X image/package evidence does not prove it is needed for SD boot.	Not an M02 SD boot requirement. M10 can re-evaluate if persistent dual-boot or A/B bootcount policy is intentionally introduced.	deferred after direct evidence check
000491	A	package/mtk/reset-boot-count/files/reset-boot-count.init	unknown	supporting	boot:recovery:failsafe	recovery-boot-count-boundary	defer	M10	Init script only loads the module when `/sys/firmware/devicetree/base/mediatek,reset-boot-count` exists; direct 8X DTS evidence does not provide that property.	Not required for SD no-install boot safety. M10 owns any later bootcount policy.	deferred after property absence check
000492	A	package/mtk/reset-boot-count/src/Makefile	makefile	supporting	boot:recovery:failsafe	recovery-boot-count-boundary	defer	M10	Package-internal build file for reset-boot-count module; package necessity is not proven for direct 8X SD boot.	Review only if M10 keeps reset-boot-count after proving a storage/install bootcount need.	deferred after package boundary check
000493	A	package/mtk/reset-boot-count/src/reset-boot-count.c	source	supporting	boot:recovery:failsafe	recovery-boot-count-boundary	defer	M10	Module resets MTK non-reset boot count registers via SMC, but no direct 8X SD boot evidence requires it.	Not part of M02 no-install boot. M10 owns any A/B or persistent recovery policy.	deferred after direct evidence check
000811	M	package/system/fstools/Makefile	makefile	primary,deferred	storage:partition:rootfs,boot:recovery:factory-install	storage-policy-boundary	defer	M10	Adds `libfstools-bootparam` and wires fstools/block-mount to boot-parameter logic used by persistent storage and factory-install behavior.	Do not pull fstools bootparam library into M02 unless later implementation proves SD root selection cannot boot without it. M10 owns storage/rootfs policy.	deferred with owner
000812	A	package/system/fstools/patches/0001-add-support-for-dual-boot.patch	patch	primary,deferred	storage:partition:rootfs,boot:recovery:factory-install	storage-policy-boundary	defer	M10	Adds boot_param helpers, hides boot-param devices, redirects rootfs_data lookup, and implements dual-boot behavior.	Persistent dual-boot/sysupgrade behavior is out of M02. Direct 8X DTS does not show `mediatek,dual-boot` or related boot-param properties for SD no-install boot.	deferred with owner; property absence checked
000827	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7981-rfb-spim-nor.dtso	dtso	primary	dts:overlay:storage	non-8x-reference-storage	drop	M02	MT7981 RFB SPI-NOR overlay is not 8X and provides no direct 8X SD boot evidence.	Routing noise from storage overlay tag. Do not use RFB storage overlay as 8X authority.	context checked before drop
000829	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-emmc.dtso	dtso	primary	dts:overlay:storage	mt7987-reference-storage	drop	M02	MT7987 eMMC overlay is not 8X and cannot decide 8X SD boot behavior.	Not M02 input beyond broad routing noise.	context checked before drop
000832	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth0-an8855.dtso	dtso	primary	dts:overlay:storage	mt7987-reference-network-drop	drop	M02	MT7987 network overlay was routed by storage keyword noise, not by SD boot evidence.	Network overlay belongs to neither M02 nor direct 8X SD path.	context checked before drop
000842	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-pinctrl.dtsi	dtsi	primary	dts:overlay:storage	mt7987-reference-soc	drop	M02	MT7987 pinctrl DTSI is not 8X and is not SD boot authority.	Do not infer 8X SD pinctrl from MT7987.	context checked before drop
000843	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-sd.dtso	dtso	primary	dts:overlay:storage	mt7987-reference-storage	drop	M02	MT7987 SD overlay is not 8X; direct 8X has its own SD DTSO.	Use direct 8X SD DTSO instead.	context checked before drop
000845	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-spim-nand.dtso	dtso	primary	dts:overlay:storage	mt7987-reference-storage	drop	M02	MT7987 NAND overlay is not 8X and NAND install/storage is out of M02.	No SD no-install migration action.	context checked before drop
000846	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-spim-nor.dtso	dtso	primary	dts:overlay:storage	mt7987-reference-storage	drop	M02	MT7987 NOR overlay is not 8X and not direct SD boot evidence.	No M02 migration action.	context checked before drop
000847	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987.dtsi	dtsi	primary	dts:overlay:storage	mt7987-reference-soc	drop	M02	MT7987 SoC DTSI is not the MT7988A 8X SoC path.	Not a source for 8X SD boot truth.	context checked before drop
000851	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-bananapi-bpi-r4-lite.dts	dts	primary	dts:overlay:storage	r4-lite-reference	drop	M02	BPI-R4 Lite is vendor-family hardware, not direct 8X; it cannot decide 8X SD boot behavior.	May be background for style only, not an M02 migration input.	context checked before drop
000852	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-rfb.dts	dts	primary	dts:overlay:storage	mt7987-reference-board	drop	M02	MT7987 RFB board DTS is not 8X and not SD boot authority.	Routing noise.	context checked before drop
000855	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x-emmc.dtso	dtso	primary	dts:overlay:storage	direct-8x-emmc-context	defer	M10	Direct 8X eMMC overlay targets the same MMC controller, sets 8-bit non-removable eMMC, defines `ubootenv`, and sets `/chosen/rootdisk-emmc`.	M02 may use it only to avoid confusing SD and eMMC modes. eMMC runtime/install/storage belongs to M10.	deferred with SD/eMMC boundary
000857	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x-sd.dtso	dtso	primary	dts:overlay:storage	direct-8x-sd-overlay	migrate	M02	Direct 8X SD overlay targets `/soc/mmc@11230000`, uses 4-bit SD, `cd-gpios = <&pio 12 GPIO_ACTIVE_LOW>`, `no-mmc`, `ubootenv`, production rootfs partition, and `/chosen/rootdisk-sd`.	Primary M02 DTSO input. Port SD semantics into target 25.12 style and do not infer boot success without serial/runtime evidence.	direct evidence; no install claim
000858	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x-wifi-mt7996a.dtso	dtso	primary	dts:overlay:storage	direct-8x-wifi-overlay	defer	M06	Direct 8X Wi-Fi overlay was routed into M02 by storage/EEPROM keyword bleed, not by SD boot behavior.	Wi-Fi PCIe, EEPROM, and radio bring-up belong to M06.	deferred with owner
000859	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x.dts	dts	primary	dts:overlay:storage	direct-8x-base-dts-context	review-only	M02	Direct 8X base DTS provides board compatible, bootargs using `root=/dev/fit0`, and `rootdisk-spim-nand = <&ubi_rootfs>`.	Use as context for SD overlay and rootdisk naming only. Board identity belongs M03; NAND/rootfs storage belongs M10.	context only; owner split documented
000860	M	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-emmc.dtso	dtso	primary	dts:overlay:storage	mt7988-rfb-storage-reference	drop	M02	MT7988A RFB eMMC overlay is not direct 8X hardware evidence.	Do not substitute RFB storage topology for 8X.	context checked before drop
000861	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth0-gsw.dtso	dtso	primary	dts:overlay:storage	mt7988-rfb-network-drop	drop	M02	MT7988A RFB network overlay is unrelated to SD boot and not direct 8X evidence.	Routing noise.	context checked before drop
000869	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-mxl86252.dts	dts	primary	dts:overlay:storage	mt7988-rfb-wired-drop	drop	M02	MT7988A RFB MxL switch board is not 8X and belongs to wired topology review if used at all.	Not M02 SD boot.	context checked before drop
