file_id	status	path	file_kind	route_classes	features	group	disposition	owner_step	evidence	notes	minimalism_gate
000037	A	package/kernel/aqr10g-phy-fw/Makefile	makefile	primary	identity:calibration:phy	aqr-phy-firmware-needs-evidence	needs-evidence	M05	AQR firmware/package evidence is only tied to RFB AQR/CUX references; direct 8X DTS names AS21xxx firmware, not AQR.	M05 TODO: prove whether any actual 8X 10G copper path uses AQR/CUX before migrating.	needs M05 evidence; no filename-only drop
000038	A	package/kernel/aqr10g-phy-fw/files/AQR-G4_v5.7.0-AQR_EVB_Generic_X3410_StdCfg_MDISwap_USX_ID46316_VER2148.cld	firmware	primary	identity:calibration:phy	aqr-phy-firmware-needs-evidence	needs-evidence	M05	AQR firmware/package evidence is only tied to RFB AQR/CUX references; direct 8X DTS names AS21xxx firmware, not AQR.	M05 TODO: prove whether any actual 8X 10G copper path uses AQR/CUX before migrating.	needs M05 evidence; no filename-only drop
000039	A	package/kernel/aqr10g-phy-fw/files/Rhe-05.06-Candidate9-AQR_Mediatek_23B_P5_ID45824_LCLVER1.cld	firmware	primary	identity:calibration:phy	aqr-phy-firmware-needs-evidence	needs-evidence	M05	AQR firmware/package evidence is only tied to RFB AQR/CUX references; direct 8X DTS names AS21xxx firmware, not AQR.	M05 TODO: prove whether any actual 8X 10G copper path uses AQR/CUX before migrating.	needs M05 evidence; no filename-only drop
000040	A	package/kernel/as21xxx/Makefile	makefile	primary	identity:calibration:phy	as21xxx-phy-firmware-driver	defer	M05	Direct 8X base DTS names as21x1x_fw.bin on PHY24 and PHY28.	M05 TODO: verify AS21xxx driver/firmware package closure and runtime PHY validation; M03 records identity evidence only.	direct DTS checked; deferred with owner
000041	A	package/kernel/as21xxx/firmware/as21x1x_fw.bin	firmware	primary	identity:calibration:phy	as21xxx-phy-firmware-driver	defer	M05	Direct 8X base DTS names as21x1x_fw.bin on PHY24 and PHY28.	M05 TODO: verify AS21xxx driver/firmware package closure and runtime PHY validation; M03 records identity evidence only.	direct DTS checked; deferred with owner
000042	A	package/kernel/as21xxx/source/Kconfig	kconfig	primary	identity:calibration:phy	as21xxx-phy-firmware-driver	defer	M05	Direct 8X base DTS names as21x1x_fw.bin on PHY24 and PHY28.	M05 TODO: verify AS21xxx driver/firmware package closure and runtime PHY validation; M03 records identity evidence only.	direct DTS checked; deferred with owner
000043	A	package/kernel/as21xxx/source/Makefile	makefile	primary	identity:calibration:phy	as21xxx-phy-firmware-driver	defer	M05	Direct 8X base DTS names as21x1x_fw.bin on PHY24 and PHY28.	M05 TODO: verify AS21xxx driver/firmware package closure and runtime PHY validation; M03 records identity evidence only.	direct DTS checked; deferred with owner
000044	A	package/kernel/as21xxx/source/as21xx_bbu_api/as21xx_api.c	source	primary	identity:calibration:phy	as21xxx-phy-firmware-driver	defer	M05	Direct 8X base DTS names as21x1x_fw.bin on PHY24 and PHY28.	M05 TODO: verify AS21xxx driver/firmware package closure and runtime PHY validation; M03 records identity evidence only.	direct DTS checked; deferred with owner
000045	A	package/kernel/as21xxx/source/as21xx_bbu_api/as21xx_api.h	header	primary	identity:calibration:phy	as21xxx-phy-firmware-driver	defer	M05	Direct 8X base DTS names as21x1x_fw.bin on PHY24 and PHY28.	M05 TODO: verify AS21xxx driver/firmware package closure and runtime PHY validation; M03 records identity evidence only.	direct DTS checked; deferred with owner
000046	A	package/kernel/as21xxx/source/as21xx_bbu_api/as21xx_debugfs.c	source	primary	identity:calibration:phy	as21xxx-phy-firmware-driver	defer	M05	Direct 8X base DTS names as21x1x_fw.bin on PHY24 and PHY28.	M05 TODO: verify AS21xxx driver/firmware package closure and runtime PHY validation; M03 records identity evidence only.	direct DTS checked; deferred with owner
000047	A	package/kernel/as21xxx/source/as21xx_bbu_api/as21xx_debugfs.h	header	primary	identity:calibration:phy	as21xxx-phy-firmware-driver	defer	M05	Direct 8X base DTS names as21x1x_fw.bin on PHY24 and PHY28.	M05 TODO: verify AS21xxx driver/firmware package closure and runtime PHY validation; M03 records identity evidence only.	direct DTS checked; deferred with owner
