file_id	status	path	file_kind	route_classes	features	group	disposition	owner_step	evidence	notes	minimalism_gate
000001	A	.config	config	primary,supporting,review-only	openwrt:package:device-packages,build:kernel:config,build:toolchain:config	config-clue	review-only	M01	Vendor generated config selects `TARGET_DEVICE_mediatek_filogic_DEVICE_bananapi_bpi-r4-pro-8x=y` and shows `CONFIG_MTK_SECURE_BOOT` and `CONFIG_PACKAGE_optee-mediatek` disabled.	Use only as a build/profile clue. Do not treat selected packages or unset symbols as hardware truth.	clue-only boundary checked
000002	A	.config.old	config	primary,supporting,review-only	openwrt:package:device-packages,build:kernel:config,build:toolchain:config	config-clue	review-only	M01	Duplicate generated config with the same 8X target and secure-boot-off evidence as `.config`.	Use only as generated build-state evidence; no migration action.	clue-only boundary checked
000026	M	config/Config-kernel.in	unknown	supporting	build:kernel:config	secure-boot-kconfig	review-only	M01	Adds RAM block-device kernel options gated by `MTK_FW_ENC_USE_RAMDISK`.	This is optional firmware-encryption support; vendor 8X config has secure boot disabled, so it is not part of the clean M01 skeleton.	optional secure boot isolated
000028	M	include/image-commands.mk	unknown	primary,supporting	image:fit,build:scripts:helper	secure-fit-helper	review-only	M01	Changes FIT rootfs handling and passes sign, encryption, and anti-rollback options through `mkits.sh` and `mkimage`.	Target 25.12 already has standard FIT helpers; do not pull optional secure boot or encrypted ramdisk behavior into M01.	optional secure boot isolated
000029	M	package/Makefile	makefile	primary	build:package:makefile	host-tool-overreach	drop	M01	Forces `package/compile` to depend on `package/dtc/host/compile`.	This supports vendor fdtput/dm-verity helper usage, not direct 8X image skeleton buildability.	context checked before drop
000030	M	package/boot/arm-trusted-firmware-mediatek/Makefile	makefile	primary	boot:tf-a:build,build:package:makefile,firmware:boot:blob	boot-artifact-tfa	rewrite	M01	Direct vendor change adds `DDR4_4BG_MODE:=1` to MT7988 eMMC, SDMMC, and SPIM-NAND-UBI comb TF-A targets; target 25.12 supports the flag but does not set it on MT7988 comb targets.	Preserve the 8X boot-artifact requirement in target structure, but avoid broad shared MT7988 target mutation unless later evidence proves it is platform-wide.	no runtime memory claim
000032	M	package/boot/uboot-mediatek/Makefile	makefile	primary	boot:uboot:build,boot:uboot:target,build:package:makefile	boot-artifact-uboot	rewrite	M01	Vendor adds 8X eMMC, SDMMC, and SNAND U-Boot package targets with matching `BUILD_DEVICES`, `UBOOT_CONFIG`, BL2 bootdev, and TF-A dependencies.	Port build-target selection into 25.12 style. Do not carry global serial-buffer tuning unless separately justified.	build selection separated from boot policy
000033	A	package/boot/uboot-mediatek/patches/999-add-bananapi_bpi-r4-pro-8x.patch	patch	primary	boot:uboot:build,boot:uboot:dts,boot:uboot:target	boot-artifact-uboot	rewrite	M01	Direct 8X patch adds U-Boot DTS/DTSI, SD/eMMC/SNAND defconfigs, and boot env files.	M01 uses this for U-Boot DTS and defconfig skeleton only. M02 owns SD env boot semantics; M10 owns NAND/eMMC install menu behavior.	boundary split required
000037	A	package/kernel/aqr10g-phy-fw/Makefile	makefile	primary	build:package:makefile	phy-package-boundary	needs-evidence	M05	Vendor package provides Aquantia firmware, but direct 8X DTS evidence checked in M00 names AS21 firmware on AN8831X PHY nodes.	M05 must prove any actual 8X 10G path needs AQR firmware before carrying it.	M05 evidence TODO required
000040	A	package/kernel/as21xxx/Makefile	makefile	primary	build:package:makefile	phy-package-boundary	defer	M05	Package defines `kmod-phy-as21xxx` and `as21xxx-firmware`; direct 8X DTS names `as21x1x_fw.bin`.	M01 notes possible package closure only. M05 owns driver, firmware, and runtime PHY validation.	deferred with owner
000043	A	package/kernel/as21xxx/source/Makefile	makefile	primary	build:package:makefile	phy-package-boundary	defer	M05	Builds the Aeonsemi AS21xxx PHY driver object used by the package in `000040`.	M05 owns whether and how this external driver is migrated.	deferred with owner
000050	M	package/kernel/linux/modules/block.mk	unknown	primary	openwrt:package:kernel-modules	secure-boot-kernel-modules	drop	M01	Changes DAX and device-mapper packaging, enabling dm-init and dm-verity options.	These are tied to optional dm-verity/firmware-encryption flow, not the baseline 8X image skeleton.	optional secure boot isolated
000051	M	package/kernel/linux/modules/netdevices.mk	unknown	primary	openwrt:package:kernel-modules	network-module-boundary	defer	M05	Adds Airoha AN8801SB PHY package and MediaTek HNAT package in one shared module file.	M05 owns PHY applicability; M08 must separately review the HNAT package before acceleration is enabled.	deferred with mixed-owner note
000052	M	package/kernel/linux/modules/netfilter.mk	unknown	primary	openwrt:package:kernel-modules	accel-module-boundary	defer	M08	Adds `kmod-nf-flow-netlink` for netfilter flowtable netlink support.	Flowtable/offload behavior is acceleration scope, not M01 build skeleton.	deferred with owner
000053	M	package/kernel/linux/modules/usb.mk	unknown	primary	openwrt:package:kernel-modules	board-extra-module-boundary	defer	M09	Only changes MediaTek xHCI packaging to set `CONFIG_USB_XHCI_MTK_DEBUGFS=n`.	USB controller/module policy belongs to board extras; not needed to define the M01 image skeleton.	deferred with owner
000054	M	package/kernel/mac80211/Makefile	makefile	primary	build:package:makefile	wireless-build-boundary	defer	M07	Vendor bumps mac80211 backports to 6.14-rc7, enables debug options, adds source overlay copy, and forces `-Werror`.	Broad wireless stack change; do not migrate as a package-build shortcut for M01.	deferred with owner
000343	M	package/kernel/mt76/Makefile	makefile	primary	build:package:makefile	wireless-build-boundary	defer	M06	Vendor bumps mt76 source, changes MT7996 title, enables WED by module parameter, adds MT7990 firmware, and adds test-mode firmware files.	M06 owns basic Wi-Fi driver/firmware closure; M08 owns WED/offload implications.	deferred with mixed-owner note
