file_id	status	path	file_kind	route_classes	features	group	disposition	owner_step	evidence	notes	minimalism_gate
000028	M	include/image-commands.mk	unknown	primary	image:sysupgrade-image	M10-image-FIT-secure-boot-optional	needs-evidence	M10	Dense-read: Build/fit changes with-rootfs from -r to -i when MTK_FW_ENC_USE_RAMDISK, adds FIT signing, firmware encryption, and anti-rollback mkimage arguments.	Optional secure/encrypted FIT behavior can change sysupgrade/rootfs artifact semantics. TODO: compare target 25.12 image pipeline and decide whether any non-default secure-boot hunk is required before enabling.	pass: not treated as build-only; optional secure-boot/storage impact recorded.
000031	M	package/boot/uboot-envtools/files/mediatek_filogic	unknown	primary	storage:sysupgrade:platform	M10-ubootenv-persistent-env-access	needs-evidence	M10	Dense-read: uboot-envtools adds block_dev_path, reads CI_METHOD from fitblk bootdev, and maps env config from DT mediatek,env-* properties for UBI, eMMC, or default MTD.	Persistent env access can target UBI volumes or block partitions. TODO: verify 8X DT env properties and target fw_env.config behavior before enabling writes.	pass: persistent env writes not accepted from generic RFB logic.
000033	A	package/boot/uboot-mediatek/patches/999-add-bananapi_bpi-r4-pro-8x.patch	patch	primary	boot:uboot:recovery,boot:uboot:storage-layout	M10-direct-8X-U-Boot-storage-install-menu	needs-evidence	M10	Dense-read: direct 8X U-Boot patch adds eMMC/SD/SPI-NAND defconfigs and envs; menus run mmc erase/write, mtd erase/write, ubi create/write, SD-to-NAND install, and NAND-to-eMMC install.	Authoritative 8X install evidence, but unsafe until recovery strategy and write targets are proven. TODO: split bootconf/rootdisk selection from destructive install commands and validate SD -> SPI-NAND -> eMMC order.	pass: install menu not accepted as runtime success; M02 SD boot split preserved.
000811	M	package/system/fstools/Makefile	makefile	primary	boot:recovery:factory-install,storage:sysupgrade:platform	M10-fstools-dual-boot-package-plumbing	needs-evidence	M10	Dense-read: fstools Makefile adds libfstools-bootparam package and links fstools/block-mount to bootparam library.	Library plumbing is only useful with dual-boot/rootfs semantics in 000812. TODO: compare target fstools 25.12 APIs before carrying package split.	pass: package dependency not mistaken for runtime validation.
000812	A	package/system/fstools/patches/0001-add-support-for-dual-boot.patch	patch	primary	boot:recovery:factory-install,storage:sysupgrade:platform	M10-fstools-dual-boot-rootfs-policy	needs-evidence	M10	Dense-read: dual-boot patch adds boot_param.c, hides boot-param rootfs_data devices, honors no-split-fitrw, maps boot-rootfs_data-part, and changes rootdisk/UBI mount behavior.	High-risk runtime rootfs/overlay policy. TODO: verify required DT boot params, fitblk behavior, data-preservation rules, and target fstools compatibility.	pass: dual-boot policy not pulled into M02 or accepted by title.
000823	M	scripts/mkits.sh	shell	primary	image:sysupgrade-image	M10-mkits-secure-FIT-artifact-semantics	needs-evidence	M10	Dense-read: mkits.sh adds -S/-b/-B/-R options, FIT cipher nodes, signature nodes, anti-rollback fw_ar_ver, and ramdisk padding for encrypted non-cpio initrd.	Changes FIT contents and rootfs/ramdisk semantics. TODO: compare target mkits.sh and decide whether secure/encrypted FIT support is in scope before any sysupgrade artifact claim.	pass: secure/encrypted FIT support not treated as boot success.
000827	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7981-rfb-spim-nor.dtso	dtso	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-non-8X-SPI-NOR-layout	review-only	M10	Patch body checked: MT7981 RFB SPI-NOR overlay defines BL2, u-boot-env, Factory, FIP, firmware partition, and rootdisk-nor.	Supporting non-8X NOR layout only; direct 8X base DTS uses SPI-NAND rootdisk, not this NOR layout.	pass: non-8X NOR layout not promoted to 8X truth.
000829	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-emmc.dtso	dtso	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-MT7987-eMMC-layout	review-only	M10	Patch body checked: MT7987 eMMC overlay targets mmc@11230000, adds ubootenv and production partitions, and rootdisk-emmc.	Supporting MT7987 reference only; direct 8X eMMC overlay 000855 is authoritative for 8X.	pass: MT7987 eMMC not copied to 8X.
000832	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth0-an8855.dtso	dtso	primary	dts:overlay:storage	M10-supporting-MT7987-network-overlay-route-bleed	review-only	M10	Dense-read: MT7987 AN8855 overlay is Ethernet/efuse/switch nvmem content and contains no storage/rootdisk/install behavior.	Route-class storage hit is keyword bleed from nvmem/reg content. No M10 action.	pass: not dropped by filename alone; body checked and scoped.
000842	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-pinctrl.dtsi	dtsi	primary	dts:overlay:storage	M10-supporting-MT7987-storage-pinctrl	review-only	M10	Patch body checked: MT7987 pinctrl defines eMMC, SD, SPI0, SPI1, and SPI2 pin groups.	Non-8X SoC pinctrl reference only. Direct 8X uses MT7988 pinctrl and direct overlays.	pass: supporting SoC pinctrl not used as 8X hardware truth.
000843	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-sd.dtso	dtso	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-MT7987-SD-layout	review-only	M10	Patch body checked: MT7987 SD overlay targets mmc@11230000, adds ubootenv and production block partitions, and rootdisk-sd.	Supporting MT7987 SD layout only; direct 8X SD overlay is M02 primary and M10 context.	pass: non-8X SD layout not promoted.
000845	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-spim-nand.dtso	dtso	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-MT7987-SPI-NAND-layout	review-only	M10	Patch body checked: MT7987 SPIM-NAND overlay defines BL2, u-boot-env, Factory, FIP, UBI fit volume, rootdisk-spim-nand, and PCIe slot context.	Supporting MT7987 NAND/rootdisk style only. M10 compares against direct 8X base DTS rather than copying this layout.	pass: M09 handoff reviewed without treating MT7987 as 8X authority.
000846	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-spim-nor.dtso	dtso	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-MT7987-SPI-NOR-layout	review-only	M10	Patch body checked: MT7987 SPI-NOR overlay defines BL2, u-boot-env, Factory, FIP, firmware, and rootdisk-nor.	SPI-NOR is review-only for 8X because direct 8X storage evidence is SPI-NAND plus SD/eMMC overlays.	pass: review-only route class preserved.
000847	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987.dtsi	dtsi	primary	dts:overlay:storage	M10-supporting-MT7987-SoC-storage-controller	review-only	M10	Patch body checked: MT7987 dtsi adds spi0/spi1/spi2 controllers and mmc0 at 11230000 among broad SoC content.	Non-8X SoC controller reference only; not direct 8X storage truth.	pass: broad SoC patch not copied.
000851	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-bananapi-bpi-r4-lite.dts	dts	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-R4Lite-storage-context	review-only	M10	Patch body checked: BPI-R4Lite DTS carries bootargs with ubi.block and board storage/network context but is MT7987/R4Lite, not 8X.	Supporting family reference only. Direct 8X compatible/layout comes from 000859/000855/000857.	pass: R4Lite board DTS not promoted.
000852	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-rfb.dts	dts	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-MT7987-RFB-storage-context	review-only	M10	Patch body checked: MT7987 RFB DTS carries ubi.block bootargs and board context.	RFB evidence is supporting only and cannot decide 8X storage truth.	pass: RFB context scoped.
000855	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x-emmc.dtso	dtso	primary	dts:overlay:storage,dts:partition:layout	M10-direct-8X-eMMC-static-topology	static-only	M10	Dense-read: direct 8X eMMC overlay targets mmc@11230000 with 8-bit non-removable eMMC, HS200/HS400, ubootenv block partition, production partition, and rootdisk-emmc.	Preserve as static topology evidence only. TODO: validate eMMC install/write path after SD and SPI-NAND recovery confidence; no eMMC boot/install success claimed.	pass: direct 8X topology kept static-only with explicit runtime TODO.
000857	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x-sd.dtso	dtso	primary	dts:overlay:storage,dts:partition:layout	M10-direct-8X-SD-storage-context	review-only	M10	Dense-read: direct 8X SD overlay targets mmc@11230000 with cd-gpios, 4-bit SD, ubootenv, production partition, and rootdisk-sd.	M02 owns SD no-install boot. M10 uses this only to compare shared MMC/rootdisk naming and SD installer payload boundaries.	pass: SD boot success not re-claimed in M10.
000858	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x-wifi-mt7996a.dtso	dtso	primary	dts:overlay:storage	M10-direct-8X-WiFi-overlay-route-bleed	review-only	M10	Dense-read: direct 8X Wi-Fi overlay adds wifi_12v regulator, AT24 MAC EEPROMs, and mt76 PCIe nodes; no storage/rootdisk/install behavior.	M06 owns Wi-Fi hardware. M10 route hit is nvmem/storage-keyword bleed.	pass: Wi-Fi overlay not misused as storage evidence.
000859	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x.dts	dts	primary	dts:overlay:storage,dts:partition:layout	M10-direct-8X-SPI-NAND-rootdisk-static-topology	static-only	M10	Dense-read: direct 8X base DTS sets ubi.block=0,firmware root=/dev/fit0, rootdisk-spim-nand, SPI-NAND fixed partitions bl2/Factory/ubi, UBI volumes ubootenv/ubootenv2/fit, and nandflash span.	Preserve static SPI-NAND/UBI topology evidence only. TODO: verify partition sizes, UBI volume creation, rootfs_data policy, and recovery before writing NAND.	pass: direct 8X NAND topology not inflated into install success.
000860	M	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-emmc.dtso	dtso	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-MT7988-RFB-eMMC-layout	review-only	M10	Patch body checked: MT7988A RFB eMMC overlay adds mmc-card partitions for ubootenv, factory nvmem, production, PCIe slot context, and rootdisk-emmc.	Supporting RFB storage reference only. Direct 8X eMMC topology is 000855.	pass: M09 handoff reviewed as supporting only.
000861	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth0-gsw.dtso	dtso	primary	dts:overlay:storage	M10-supporting-RFB-network-overlay-route-bleed	review-only	M10	Dense-read: MT7988A RFB eth0 GSW overlay contains switch, PHY, and LED nvmem content, not storage/rootdisk/install behavior.	No M10 migration action; wired runtime belongs M05.	pass: storage keyword bleed reported.
000869	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-mxl86252.dts	dts	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-RFB-board-storage-bootargs	review-only	M10	Patch body checked: MT7988A RFB MXL86252 DTS carries ubi.block/root=/dev/fit0 bootargs alongside wired/PCIe content.	Supporting MT7988 RFB bootargs only; direct 8X base DTS decides 8X storage topology.	pass: RFB board DTS not copied.
000870	M	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-sd.dtso	dtso	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-MT7988-RFB-SD-layout	review-only	M10	Patch body checked: MT7988A RFB SD overlay adds mmc-card ubootenv and production partitions plus rootdisk-sd.	Supporting RFB SD reference only; direct 8X SD overlay is 000857 and M02 primary.	pass: non-8X SD context scoped.
000872	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-spim-nand-nmbm.dtso	dtso	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-MT7988-RFB-SPI-NAND-NMBM-layout	review-only	M10	Patch body checked: MT7988A RFB SPIM-NAND NMBM overlay defines BL2, u-boot-env, Factory, FIP, UBI fit volume, rootdisk-spim-nand, and PCIe slot context.	Supporting RFB NAND/NMBM reference only. Direct 8X uses base DTS 000859; NMBM is not proven for 8X.	pass: M09 handoff reviewed without promoting RFB/NMBM to 8X truth.
000873	M	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-spim-nor.dtso	dtso	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-MT7988-RFB-SPI-NOR-layout	review-only	M10	Patch body checked: MT7988A RFB SPI-NOR patch labels firmware as nor_rootdisk and adds rootdisk-nor.	SPI-NOR is supporting/review-only because direct 8X rootdisk evidence is SPI-NAND/SD/eMMC.	pass: NOR path not claimed for 8X.
000874	M	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb.dts	dts	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-MT7988-RFB-storage-bootargs	review-only	M10	Patch body checked: MT7988A RFB DTS adds ubi.block=0,firmware root=/dev/fit0 bootargs and broad board content.	RFB bootargs are supporting context only, not direct 8X authority.	pass: RFB storage bootargs scoped.
000875	M	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a.dtsi	dtsi	primary	dts:overlay:storage	M10-supporting-MT7988-SoC-SPI-context	review-only	M10	Dense-read: MT7988A dtsi patch adjusts SPI0 pin drive groups but is mostly GSW/LVTS/Ethernet/crypto SoC content.	Use only as supporting SPI pinctrl context. M09/M08 own non-storage hunks.	pass: broad SoC patch not used for storage policy.
000876	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988d-rfb-eth0-gsw.dtso	dtso	primary	dts:overlay:storage	M10-supporting-MT7988D-network-overlay-route-bleed	review-only	M10	Dense-read: MT7988D RFB GSW overlay contains switch, PHY, and LED nvmem content, not storage/rootdisk/install behavior.	No M10 migration action; non-8X wired overlay only.	pass: storage keyword bleed reported.
000878	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988d-rfb.dts	dts	primary	dts:overlay:storage,dts:partition:layout	M10-supporting-MT7988D-RFB-storage-bootargs	review-only	M10	Patch body checked: MT7988D RFB DTS carries ubi.block/root=/dev/fit0 bootargs and reset/WPS board context.	Supporting RFB bootargs only; not direct 8X storage truth.	pass: RFB DTS scoped as support.
000966	M	target/linux/mediatek/filogic/base-files/lib/upgrade/platform.sh	shell	primary	storage:sysupgrade:backup-restore,storage:sysupgrade:compatibility,storage:sysupgrade:platform	M10-platform-sysupgrade-fitblk-CI-method	needs-evidence	M10	Dense-read: platform.sh adds fitblk/dmsetup cleanup, export_fitblk_bootdev, CI_METHOD emmc/default/ubi handling, ubi_do_upgrade, and platform check/copy cases for RFB boards.	Direct 8X board is not explicitly matched here, while vendor mtk_mmc.sh/mtk_nand.sh show destructive dd/ubiupdatevol flows. TODO: design 8X-specific platform case before sysupgrade.	pass: RFB platform logic not silently accepted for 8X.
000969	A	target/linux/mediatek/image/Config.in	unknown	primary	image:sysupgrade-image	M10-optional-secure-boot-Kconfig	needs-evidence	M10	Dense-read: new image Config.in adds MTK_SECURE_BOOT, firmware encryption, ramdisk rootfs encryption, OP-TEE decrypt backend, and anti-rollback settings.	Optional policy can alter rootfs/sysupgrade artifacts but direct 8X default enable is not proven. TODO: decide out-of-scope vs target-safe optional policy before migration.	pass: optional secure boot not claimed successful.
